Episodes,Win Ratio 1,Win Ratio 2
67700,88.0,5.0
67800,88.0,8.0
67900,90.0,6.0
68000,87.0,11.0
68100,94.0,4.0
68200,88.0,9.0
68300,89.0,7.000000000000001
68400,93.0,6.0
68500,92.0,5.0
68600,96.0,0.0
68700,97.0,3.0
68800,96.0,1.0
68900,92.0,4.0
69000,92.0,2.0
69100,93.0,2.0
69200,86.0,5.0
69300,96.0,1.0
69400,96.0,1.0
69500,96.0,1.0
69600,95.0,0.0
69700,95.0,2.0
69800,94.0,5.0
69900,98.0,1.0
70000,86.0,7.000000000000001
70100,91.0,6.0
70200,90.0,8.0
70300,89.0,7.000000000000001
70400,90.0,4.0
70500,88.0,8.0
70600,89.0,2.0
70700,95.0,2.0
70800,92.0,3.0
70900,95.0,0.0
71000,88.0,3.0
71100,90.0,2.0
71200,90.0,3.0
71300,95.0,2.0
71400,96.0,0.0
71500,89.0,10.0
71600,94.0,4.0
71700,93.0,4.0
71800,97.0,1.0
71900,94.0,3.0
72000,93.0,5.0
72100,95.0,1.0
72200,98.0,0.0
72300,98.0,1.0
72400,92.0,5.0
72500,96.0,0.0
72600,94.0,2.0
72700,87.0,7.000000000000001
72800,94.0,3.0
72900,94.0,3.0
73000,92.0,2.0
73100,96.0,2.0
73200,94.0,2.0
73300,97.0,1.0
73400,95.0,2.0
73500,94.0,4.0
73600,95.0,2.0
73700,95.0,2.0
73800,97.0,1.0
73900,97.0,3.0
74000,98.0,0.0
74100,93.0,1.0
74200,95.0,2.0
74300,98.0,1.0
74400,88.0,4.0
74500,94.0,2.0
74600,92.0,4.0
74700,90.0,6.0
74800,89.0,6.0
74900,96.0,2.0
75000,97.0,1.0
75100,95.0,3.0
75200,97.0,2.0
75300,96.0,0.0
75400,92.0,3.0
75500,95.0,2.0
75600,95.0,2.0
75700,91.0,2.0
75800,96.0,3.0
75900,95.0,2.0
76000,96.0,0.0
76100,96.0,2.0
76200,93.0,1.0
76300,94.0,1.0
76400,97.0,0.0
76500,91.0,3.0
76600,96.0,1.0
76700,94.0,1.0
76800,96.0,1.0
76900,92.0,3.0
77000,96.0,1.0
77100,97.0,2.0
77200,95.0,0.0
77300,95.0,0.0
77400,97.0,1.0
77500,94.0,2.0
77600,94.0,2.0
77700,97.0,0.0
77800,93.0,3.0
77900,95.0,2.0
78000,95.0,2.0
78100,95.0,4.0
78200,92.0,4.0
78300,98.0,0.0
78400,93.0,2.0
78500,93.0,2.0
78600,94.0,3.0
78700,95.0,1.0
78800,95.0,2.0
78900,92.0,2.0
79000,94.0,2.0
79100,94.0,2.0
79200,92.0,6.0
79300,90.0,9.0
79400,93.0,3.0
79500,95.0,3.0
79600,91.0,2.0
79700,94.0,5.0
79800,95.0,3.0
79900,94.0,1.0
80000,94.0,1.0
80100,95.0,0.0
80200,95.0,2.0
80300,97.0,1.0
80400,92.0,5.0
80500,93.0,3.0
80600,92.0,3.0
80700,97.0,1.0
80800,94.0,3.0
80900,93.0,3.0
81000,93.0,4.0
81100,96.0,1.0
81200,90.0,1.0
81300,95.0,2.0
81400,96.0,2.0
81500,98.0,1.0
81600,94.0,2.0
81700,90.0,4.0
81800,96.0,0.0
81900,96.0,1.0
82000,96.0,2.0
82100,94.0,2.0
82200,92.0,2.0
82300,95.0,1.0
82400,98.0,0.0
82500,91.0,5.0
82600,93.0,1.0
82700,93.0,2.0
82800,98.0,1.0
82900,96.0,1.0
83000,90.0,5.0
83100,96.0,2.0
83200,87.0,4.0
83300,95.0,1.0
83400,93.0,3.0
83500,95.0,1.0
83600,94.0,1.0
83700,96.0,1.0
83800,91.0,3.0
83900,93.0,2.0
84000,94.0,2.0
84100,88.0,5.0
84200,92.0,5.0
84300,96.0,1.0
84400,97.0,1.0
84500,90.0,7.000000000000001
84600,90.0,7.000000000000001
84700,95.0,1.0
84800,92.0,1.0
84900,91.0,3.0
85000,95.0,1.0
85100,92.0,2.0
85200,91.0,2.0
85300,92.0,1.0
85400,91.0,4.0
85500,93.0,2.0
85600,94.0,3.0
85700,95.0,0.0
85800,100.0,0.0
85900,94.0,3.0
86000,95.0,2.0
86100,95.0,4.0
86200,95.0,1.0
86300,93.0,2.0
86400,97.0,1.0
86500,86.0,6.0
86600,95.0,2.0
86700,93.0,3.0
86800,93.0,2.0
86900,89.0,4.0
87000,94.0,2.0
87100,92.0,2.0
87200,95.0,1.0
87300,98.0,2.0
87400,94.0,1.0
87500,95.0,2.0
87600,91.0,2.0
87700,93.0,2.0
87800,92.0,5.0
87900,95.0,1.0
88000,94.0,3.0
88100,95.0,2.0
88200,95.0,2.0
88300,94.0,1.0
88400,91.0,6.0
88500,97.0,1.0
88600,95.0,3.0
88700,96.0,1.0
88800,93.0,5.0
88900,96.0,2.0
89000,95.0,0.0
89100,96.0,1.0
89200,93.0,1.0
89300,94.0,3.0
89400,92.0,3.0
89500,89.0,0.0
89600,97.0,1.0
89700,98.0,0.0
89800,91.0,4.0
89900,94.0,4.0
90000,93.0,1.0
90100,93.0,2.0
90200,97.0,1.0
90300,91.0,1.0
90400,96.0,1.0
90500,94.0,1.0
90600,92.0,2.0
90700,92.0,2.0
90800,96.0,0.0
90900,94.0,1.0
91000,95.0,3.0
91100,97.0,1.0
91200,94.0,2.0
91300,93.0,5.0
91400,94.0,3.0
91500,90.0,4.0
91600,91.0,3.0
91700,96.0,2.0
91800,92.0,2.0
91900,92.0,4.0
92000,95.0,3.0
92100,93.0,3.0
92200,96.0,1.0
92300,96.0,2.0
92400,95.0,1.0
92500,90.0,4.0
92600,95.0,3.0
92700,98.0,1.0
92800,94.0,4.0
92900,97.0,0.0
